item_id,item_name,item_amount,currency_id,currency_amount
84731,"Piece of Unidentified Gear",-1005,1,-29070
597,"Shaman's Marauder Mask of Scavenging",1,,
2115,"Cleric's Banded Legs of Hoelbrak",2,,
1999,"Rampager's Rogue Gloves of the Afflicted",1,,
811,"Zho's Gloves",1,,
23212,"Shaman's Ring",1,,
23174,"Berserker's Amulet",1,,
28553,"Berserker's Soft Wood Longbow of Perception",1,,
26837,"Berserker's Iron Shield of Corruption",1,,
19748,"Silk Scrap",351,,
45175,"Fine Essence of Luck",1094,,
89140,"Lucent Mote",929,,
19700,"Mithril Ore",399,,
19725,"Ancient Wood Log",36,,
19722,"Elder Wood Log",393,,
19729,"Thick Leather Section",256,,
45176,"Masterwork Essence of Luck",289,,
19701,"Orichalcum Ore",27,,
19745,"Gossamer Scrap",24,,
45178,"Exotic Essence of Luck",11,,
19732,"Hardened Leather Section",14,,
89103,"Charm of Brilliance",8,,
89141,"Symbol of Enhancement",9,,
89216,"Charm of Skill",2,,
89098,"Symbol of Control",5,,
26826,"Rampager's Iron Shield of Water",1,,
586,"Rampager's Marauder Mask of Balthazar",1,,
27131,"Berserker's Soft Wood Warhorn of the Geomancer",1,,
1822,"Rampager's Rogue Coat of Grenth",1,,
45150,"Errol's Gloves",1,,
45177,"Rare Essence of Luck",22,,
45134,"Dire Rogue Pauldrons of Infiltration",1,,
28237,"Berserker's Iron Rifle of Venom",1,,
26114,"Berserker's Iron Mace of Battle",1,,
698,"Carrion Banded Greaves of the Flame Legion",1,,
28224,"Rampager's Iron Rifle of Corruption",1,,
89258,"Charm of Potence",6,,
2113,"Cleric's Banded Legs of Mercy",1,,
1826,"Berserker's Banded Helm of Infiltration",1,,
28233,"Cleric's Iron Rifle of the Geomancer",2,,
25943,"Berserker's Iron Axe of Bloodlust",1,,
26509,"Berserker's Iron Sword of the Hydromancer",1,,
2096,"Carrion Banded Legs of Mercy",1,,
26672,"Berserker's Soft Wood Scepter of Earth",1,,
983,"Rampager's Conjurer Shoes of Dwayna",1,,
26118,"Rampager's Iron Mace of Air",1,,
82680,"Elonian Warsickle",1,,
89182,"Symbol of Pain",1,,
28558,"Rampager's Soft Wood Longbow of Perception",1,,
27285,"Rampager's Soft Wood Focus of Venom",1,,
2697,"Ogden's Mantle",1,,
26664,"Cleric's Soft Wood Scepter of Force",1,,
27608,"Berserker's Iron Greatsword of Life",1,,
26522,"Cleric's Iron Sword of Peril",1,,
