item_id,item_name,item_amount,currency_id,currency_amount
19986,"Black Lion Salvage Kit",-16,,
19721,"Glob of Ectoplasm",26,,
19722,"Elder Wood Log",11,,
19748,"Silk Scrap",10,,
19700,"Mithril Ore",7,,
19701,"Orichalcum Ore",1,,
47088,"Bite of the Ebon Viper",-1,,
28593,"Gungnir",-2,,
26559,"Rampager's Iron Shield of Serpent Slaying",-1,,
24624,"Superior Sigil of Smoldering",1,,
28592,"Rampager's Iron Spear of Smoldering",-1,,
24658,"Superior Sigil of Serpent Slaying",3,,
24554,"Superior Sigil of Air",1,,
72339,"Superior Sigil of Concentration",3,,
94413,"Giver's Candy Cane Rifle of Concentration",-1,,
106744,"Restless Captain's Light Boots",-2,,
106021,"Extremis Light Boots",-1,,
46681,"Glob of Dark Matter",8,,
106866,"",-1,,
89420,"Giver's Candy Cane Dagger of Concentration",-1,,
94424,"Giver's Candy Cane Axe of Concentration",-1,,
1644,"Koss' Helm",-1,,
24765,"Superior Rune of Balthazar",1,,
1342,"Sheena's Gauntlets",-1,,
24687,"Superior Rune of the Afflicted",1,,
24551,"Superior Sigil of Water",1,,
27808,"Droknar's Short Bow",-1,,
24636,"Superior Sigil of Debility",1,,
25961,"Razorstone",-1,,
46684,"Shaman's Orichalcum Imbued Inscription",1,,
