item_id,item_name,item_amount,currency_id,currency_amount
19700,"Mithril Ore",26,1,-2460
19701,"Orichalcum Ore",2,,
19729,"Thick Leather Section",7,,
19721,"Glob of Ectoplasm",39,,
19722,"Elder Wood Log",16,,
89140,"Lucent Mote",55,,
19748,"Silk Scrap",9,,
27131,"Berserker's Soft Wood Warhorn of the Geomancer",-1,,
27787,"Cleric's Soft Wood Staff of Force",-1,,
19725,"Ancient Wood Log",2,,
26130,"Cleric's Iron Mace of Venom",-1,,
26837,"Berserker's Iron Shield of Corruption",-1,,
27305,"Rampager's Soft Wood Focus of Force",-1,,
27786,"Cleric's Soft Wood Staff of Energy",-1,,
23258,"Rampager's Ring",-1,,
1999,"Rampager's Rogue Gloves of the Afflicted",-1,,
26367,"Cleric's Iron Dagger of Blood",-1,,
26972,"Rampager's Iron Pistol of Bloodlust",-1,,
2355,"Rampager's Banded Pauldrons of the Flame Legion",-1,,
27159,"Cleric's Soft Wood Warhorn of Blood",-1,,
758,"Cleric's Banded Greaves of Lyssa",-1,,
723,"Rampager's Banded Greaves of Lyssa",-1,,
28403,"Cleric's Steam Speargun of Battle",-1,,
26370,"Berserker's Iron Dagger of Bloodlust",-1,,
28788,"Cleric's Iron Spear of Grawl Slaying",-1,,
23172,"Rampager's Amulet",-1,,
2675,"Carrion Conjurer Pants of Divinity",-1,,
26114,"Berserker's Iron Mace of Battle",-1,,
1833,"Cleric's Rogue Coat of Lyssa",-2,,
25946,"Rampager's Iron Axe of Chilling",-1,,
1297,"Rampager's Banded Coat of Dwayna",-1,,
28251,"Cleric's Iron Rifle of Ice",-1,,
27780,"Berserker's Soft Wood Staff of Restoration",-1,,
27934,"Cleric's Iron Hammer of Leeching",-1,,
26684,"Cleric's Soft Wood Scepter of Force",-1,,
27146,"Cleric's Soft Wood Warhorn of the Geomancer",-1,,
26681,"Cleric's Soft Wood Scepter of Agony",-1,,
82898,"Elonian Carver",-1,,
45108,"Dire Conjurer Gloves of the Grove",-1,,
83283,"Elonian Thrasher",-1,,
2683,"Shaman's Conjurer Pants of Grenth",-1,,
45125,"Dire Rogue Gloves of Balthazar",-1,,
26998,"Cleric's Iron Pistol of Energy",-1,,
28729,"Cleric's Black Earth Trident of Hobbling",-1,,
27768,"Rampager's Soft Wood Staff of Corruption",-1,,
2110,"Shaman's Banded Legs of Strength",-1,,
27446,"Berserker's Soft Wood Torch of Restoration",-1,,
1613,"Rampager's Banded Gauntlets of the Afflicted",-1,,
